person,ticker,equity_stake_pct,voting_control_pct,total_comp_m,base_salary_k,stock_awards_m
dustin_moskovitz,META,,,,,
dwight_schar,CHCI,,,,,
dylan_field,FIG,,,,,
eddie_lampert,AN,,,,,
eduardo_vivas,APP,,,,,
edward_bass,XOM,,,,,
edward_debartolo_jr,SPG,,,,,
edward_roski_jr,GOOGL,,,,,
edward_stack,DKS,,,,,
egon_durban,BYND,,,,,
elisabeth_deluca,T,,,,,
elizabeth_koch,MDLN,,,,,
elon_musk,TSLA,19.8,,,,
eric_lefkofsky,TEM,,,28.56,,27.75
eric_schmidt,GOOGL,,,,,
eric_yuan,ZM,,,3.43,453.462,0.96
ernest_garcia_ii,CVNA,,,10.6,930.0,4.55
ernest_garcia_iii,CVNA,,,10.6,930.0,4.55
evan_spiegel,SNAP,,,,,
evan_williams,BYND,,,,,
farhad_ebrahimi,FSLR,,,,,
farris_wilks,DWSN,,,,,
frank_fertitta_iii,RRR,,,3.33,1000.0,
frank_holding_jr,FCNCB,,,11.01,1040.0,
frank_laukien,BRKR,,,5.53,965.72,1.76
frank_slootman,PSA,,,,,
fred_ehrsam,COIN,,,,,
fred_smith,FDX,,,5.28,899.656,1.03
frederic_luddy,NOW,,,,,
gail_miller,JOUT,,,,,
garrett_camp,UBER,,,,,
gary_chouest,TTD,,,,,
gary_magness,CMCSA,,,,,
gary_michelson,AMZN,,,,,
gary_rollins,ROL,33.25,,,,
gary_tharaldson,ALAB,,,,,
gayle_benson,APO,,,,,
geoffrey_palmer,WBD,,,,,
george_joseph,MCY,35.3,,3.6,1317.802,0.91
george_kaiser,BOKF,,,,,
george_kurtz,CRWD,,,35.2,1000.0,31.85
george_lucas,JPM,,,,,
george_marcus,ESS,,,,,
george_roberts,KKR,,,,,
george_soros,ERIE,,,,,
george_yancopoulos,REGN,,,6.8,1941.1,
gerard_wertheimer,AVGO,,,,,
gina_vecchiarelli,URBN,,,,,
gloria_joseph,MCY,16.5,,3.6,1317.802,0.91
gordon_getty,PLTR,,,,,
greg_brown,MSI,,,,,
greg_love,CRM,,,,,
greg_mondre,FSLR,,,,,
gregory_bentley,BSY,,,16.42,200.0,12.19
gwynne_shotwell,TOL,,,,,
hamdi_ulukaya,KVYO,,,,,
hamilton_e_james,BX,,,,,
hansjoerg_wyss,NVCR,7.3,,,,
hartley_rogers,HLNE,,,,,
harvey_jones,NVDA,,,,,
helen_johnson_leipold,JOUT,17.4,,2.77,924.419,1.15
henry_kravis,KKR,,,,,
henry_nicholas_iii,AVGO,,,,,
henry_samueli,AVGO,,,,,
henry_swieca,ASTS,,,,,
herald_chen,APP,,,,,
herbert_allen_jr,KO,,,,,
herbert_fisk_johnson_iii,JOUT,,,,,
herbert_simon,SPG,,,,,
herbert_wertheim,GOOGL,,,,,
herriot_tabuteau,AXSM,17.7,,10.36,780.0,2.83
hilton_schlosberg,MNST,,,1.6868040178059082e+17,1.2000001100000101e+17,1.0498230103062962e+17
hock_tan,AVGO,,,1.73,1200.0,202.35
holden_spaht,EL,,,,,
hope_welker,BSX,,,,,
howard_lutnick,BGC,,,15.0,1000.0,
howard_schultz,SBUX,,,,,
ion_stoica,SEIC,,,,,
itzhak_ezratti,CRGY,,,,,
ivan_zhao,GBDC,,,,,
j_christopher_flowers,ECPG,,,,,
j_frank_harrison_iii,COKE,,,,,
