country,time,total_number_of_dollar_billionaires
usa,1997,54
usa,1998,98
usa,1999,21
usa,2000,19
usa,2001,186
usa,2002,178
usa,2003,168
usa,2004,213
usa,2005,262
usa,2006,294
usa,2007,331
usa,2008,384
usa,2009,336
usa,2010,405
usa,2011,414
usa,2012,427
usa,2013,444
usa,2014,493
usa,2015,538
usa,2016,545
usa,2017,618
usa,2018,660
usa,2019,694
usa,2020,728
usa,2021,823
usa,2022,853
usa,2023,844
usa,2024,897
usa,2025,978
