country,time,average_age_of_dollar_billionaires_years
usa,1997,41.85
usa,1998,42.0
usa,1999,45.7
usa,2000,45.89
usa,2001,59.14
usa,2002,60.4
usa,2003,60.86
usa,2004,61.53
usa,2005,62.07
usa,2006,62.87
usa,2007,63.47
usa,2008,63.34
usa,2009,64.75
usa,2010,65.59
usa,2011,65.41
usa,2012,65.12
usa,2013,65.73
usa,2014,65.66
usa,2015,65.54
usa,2016,65.84
usa,2017,66.35
usa,2018,66.64
usa,2019,66.56
usa,2020,67.0
usa,2021,66.05
usa,2022,66.01
usa,2023,67.36
usa,2024,67.49
usa,2025,67.33
