person,name,last_name,age,birth_year,gender,country,source,industry,title,image_uri,latest_year
mehmet_sepil,Mehmet Sepil,Sepil,70.0,1955.0,Male,Turkey,oil,Energy,,,2011
mehmet_sinan_family_tara,Mehmet Sinan & Family Tara,Tara,67.0,1958.0,Male,Turkey,Construction,Construction & Engineering,,no-pic,2025
mehmet_sinan_tara,Mehmet Sinan Tara,Tara,64.0,1961.0,Male,Turkey,Construction,Construction & Engineering,,,2023
melanie_perkins,Melanie Perkins,Perkins,38.0,1987.0,Female,Australia,Software,Technology,"Cofounder & CEO, Canva",,2025
melih_abdulhayoglu,Melih Abdulhayoglu,Abdulhayoglu,55.0,1970.0,Male,Turkey,internet security,Technology,,no-pic,2019
melinda_french_gates,Melinda French Gates,French Gates,60.0,1965.0,Female,United States,"Microsoft, investments",Technology,"Founder, Pivotal Ventures",no-pic-female,2025
melissa_ma_1,Melissa Ma,Ma,,,Female,China,Internet search,Technology,,no-pic-female,2025
melker_schorling,Melker Schorling,Schorling,75.0,1950.0,Male,Sweden,Investments,Finance & Investments,,,2023
meng_qingshan,Meng Qingshan,Meng,76.0,1949.0,Male,China,Chemicals,Manufacturing,,no-pic,2025
mi_enhua,Mi Enhua,Mi,67.0,1958.0,Male,China,Retail,Fashion & Retail,,no-pic,2025
mian_mohammad_mansha,Mian Mohammad Mansha,Mansha,75.0,1950.0,,Pakistan,diversified,,,no-pic,2010
miao_hangen,Miao Hangen,Miao,59.0,1966.0,Male,China,"Textiles, petrochemicals",Diversified,,,2025
miao_shouliang,Miao Shouliang,Miao,68.0,1957.0,Male,China,Real estate,Real Estate,,,2023
miao_yongjun,Miao Yongjun,Miao,57.0,1968.0,Male,China,Clinical diagnostics,Healthcare,,no-pic,2025
michael_andlauer,Michael Andlauer,Andlauer,60.0,1965.0,Male,Canada,"Logistics, sports",Logistics,,no-pic,2025
michael_arougheti,Michael Arougheti,Arougheti,52.0,1973.0,Male,United States,Finance,Finance & Investments,,no-pic,2025
michael_ashcroft,Michael Ashcroft,Ashcroft,79.0,1946.0,Male,United Kingdom,Security,Finance & Investments,,,2025
michael_ashley,Michael Ashley,Ashley,60.0,1965.0,Male,United Kingdom,Sports retailing,Fashion & Retail,,,2025
michael_bloomberg,Michael Bloomberg,Bloomberg,83.0,1942.0,Male,United States,Bloomberg LP,Finance & Investments,"CEO, Bloomberg",,2025
michael_chae,Michael Chae,Chae,56.0,1969.0,Male,United States,Private Equity,Finance & Investments,,no-pic,2025
michael_chiang,Michael Chiang,Chiang,70.0,1955.0,Male,Taiwan,electronics,Technology,,,2013
michael_dell,Michael Dell,Dell,60.0,1965.0,Male,United States,Dell Technologies,Technology,"Chairman and CEO, Dell Technologies",,2025
michael_dorrell,Michael Dorrell,Dorrell,51.0,1974.0,Male,United States,Investing,Finance & Investments,,no-pic,2025
michael_dunlap,Michael Dunlap,Dunlap,61.0,1964.0,Male,United States,loan servicing,Finance & Investments,,no-pic,2025
michael_eisner,Michael Eisner,Eisner,81.0,1944.0,Male,United States,,,,no-pic,2008
michael_federmann,Michael Federmann,Federmann,81.0,1944.0,Male,Israel,"Defense, hotels",Technology,,,2025
michael_gans,Michael Gans,Gans,61.0,1964.0,Male,Luxembourg,Supply chain services,Diversified,,no-pic,2025
michael_hartono,Michael Hartono,Hartono,85.0,1940.0,Male,Indonesia,"Banking, tobacco",Manufacturing,,no-pic,2025
michael_heine,Michael Heine,Heine,75.0,1950.0,Male,Australia,Financial services,Finance & Investments,,no-pic,2025
michael_heisley,"Michael Heisley, Sr.",Heisley,86.0,1939.0,Male,United States,manufacturing,Manufacturing,,,2012
