person,self_made_type,birth_date,city,state,marital_status,number_of_children,birth_country,self_made_score,birth_city,birth_state,philanthropy_score
herbert_wertheim,self-made,1939-05-23,Coral Gables,Florida,Divorced,2.0,,10.0,,,2.0
herriot_tabuteau,self-made,1968-07-23,New York,New York,Married,2.0,Haiti,10.0,,,
hilton_schlosberg,self-made,1953-01-01,Irvine,California,,,,,,,
holden_spaht,self-made,1974-07-03,San Francisco,California,Married,2.0,,8.0,,,1.0
hope_welker,inherited,1985-08-13,New York,New York,Divorced,2.0,,,,,
howard_butt_iii,inherited and growing,1952-04-04,San Antonio,Texas,Married,3.0,,3.0,,,
howard_lutnick,self-made,1961-07-14,Washington,District of Columbia,,,,10.0,,,
howard_marks,self-made,1946-04-23,New York,New York,Married,2.0,,8.0,,,2.0
howard_schultz,self-made,1953-07-19,Seattle,Washington,Married,2.0,,10.0,,,3.0
ignacio_torras,self-made,1965-03-01,Houston,Texas,Married,4.0,Spain,9.0,Barcelona,,
igor_makarov,self-made,1962-04-15,Miami,Florida,Married,2.0,Turkmenistan,,Ashgabat,,
igor_olenicoff,self-made,1942-09-20,Lighthouse Point,Florida,Married,2.0,Russia,10.0,,,1.0
igor_tulchinsky,self-made,1966-08-01,Greenwich,Connecticut,,,Belarus,,Minsk,,
ion_stoica,self-made,1965-02-12,Berkeley,California,,,,,,,
ira_rennert,self-made,1934-05-31,New York,New York,Married,3.0,United States,8.0,Brooklyn,New York,2.0
irving_grousbeck,self-made,1934-07-20,Portola Valley,California,,4.0,United States,,,Massachusetts,
isaac_perlmutter,self-made,1942-12-01,Palm Beach,Florida,Married,,Israel,10.0,Tel Aviv,,1.0
israel_englander,self-made,1948-09-30,New York,New York,Married,3.0,,9.0,,,1.0
itzhak_ezratti,self-made,1952-10-14,Indian Creek,Florida,,3.0,,,,,
ivan_zhao,self-made,1986-05-31,San Francisco,California,,,,,,,
j_christopher_flowers,self-made,1957-10-27,Palm Beach,Florida,Married,2.0,United States,,,,
j_christopher_reyes,self-made,1953-12-29,Hobe Sound,Florida,Married,4.0,,8.0,,,1.0
j_frank_harrison_iii,inherited and growing,1955-01-01,Charlotte,North Carolina,,,,,,,
j_hyatt_brown,inherited and growing,1937-07-12,Ormond Beach,Florida,Married,,,5.0,,,2.0
j_joe_ricketts,self-made,1941-07-16,Little Jackson Hole,Wyoming,Married,4.0,,10.0,,,2.0
j_tomilson_hill,self-made,1948-05-24,New York,New York,Married,2.0,United States,6.0,,,2.0
j_wayne_weaver,self-made,1935-09-01,Jacksonville,Florida,Married,2.0,United States,,,,
jack_clark,self-made,1989-03-02,San Francisco,California,,,,,,,
jack_cogen,self-made,1956-04-14,New York,New York,,,,,,,
jack_dangermond,self-made,1945-07-23,Redlands,California,Married,,United States,8.0,Redlands,California,2.0
jack_dorsey,self-made,1976-11-19,San Francisco,California,Single,,United States,8.0,St. Louis,Missouri,4.0
jack_link,self-made,1946-02-22,Minong,Wisconsin,Married,2.0,,8.0,,,
jacqueline_mars,inherited,1939-10-10,The Plains,Virginia,Divorced,3.0,,2.0,,,1.0
jahm_najafi,self-made,1963-03-19,Paradise Valley,Arizona,Married,3.0,,,,,
james_cargill_ii,inherited,1949-04-07,Birchwood,Wisconsin,Married,2.0,,1.0,,,1.0
james_chambers,inherited,1957-04-12,Palisades,New York,Married,2.0,,1.0,,,1.0
james_chao,self-made,1947-09-15,Houston,Texas,,,,7.0,,,1.0
james_clark,self-made,1944-03-23,Palm Beach,Florida,Married,4.0,United States,9.0,Plainview,Texas,2.0
james_dinan,self-made,1959-05-22,North Salem,New York,Married,3.0,United States,8.0,Worcester,Massachusetts,2.0
james_duff,self-made,1961-03-07,Hattiesburg,Mississippi,Married,2.0,,7.0,,,1.0
james_france,inherited and growing,1944-10-24,Daytona Beach,Florida,Married,3.0,,4.0,,,
james_goodnight,self-made,1943-01-06,Cary,North Carolina,Married,3.0,United States,8.0,Salisbury,North Carolina,1.0
james_jannard,self-made,1949-06-08,San Juan Islands,Washington,Married,4.0,United States,9.0,Alhambra,California,
james_leininger,self-made,1945-03-30,San Antonio,Texas,Married,4.0,,,,,
james_litinsky,self-made,1978-01-01,Las Vegas,Nevada,,,,,,,
james_packer,inherited and growing,1967-09-08,Los Angeles,California,Divorced,3.0,,,,,
james_scapa,self-made,1957-01-23,Atherton,California,Married,4.0,United States,,New York,New York,
james_tisch,inherited and growing,1953-01-15,New York,New York,,,United States,,,,
james_truchard,self-made,1943-06-25,Austin,Texas,Married,4.0,United States,,,Texas,
jamie_dimon,self-made,1956-03-13,New York,New York,Married,3.0,United States,,New York,New York,
jan_koum,self-made,1976-02-24,Atherton,California,Single,,Ukraine,10.0,,,2.0
jane_goldman,inherited and growing,1955-07-29,New York,New York,Married,2.0,United States,4.0,New York,New York,1.0
jane_lauder,inherited,1973-01-01,New York,New York,Married,,United States,4.0,,,
janice_mcnair,inherited,1936-09-30,Houston,Texas,Widowed,4.0,United States,2.0,,,2.0
jared_kaplan,self-made,1984-05-01,Pacifica,California,,,,,,,
jared_kushner,inherited and growing,1981-01-10,Miami,Florida,Married,3.0,United States,,,,
jared_smith_1,self-made,1974-10-02,Provo,Utah,Married,,,,,,
jason_murray,self-made,1979-04-01,Mountain Green,Utah,Married,,,,,,
jay_chaudhry,self-made,1959-08-26,Reno,Nevada,Married,3.0,India,9.0,Panoh,,1.0
jay_paul,self-made,1947-07-08,San Francisco,California,Married,,,8.0,,,
jay_z,self-made,1969-12-04,Los Angeles,California,Married,3.0,United States,10.0,Brooklyn,New York,
jayshree_ullal,self-made,1961-03-27,Saratoga,California,Married,2.0,United Kingdom,6.0,London,,1.0
jb_pritzker,inherited and growing,1965-01-19,Springfield,Illinois,Married,2.0,,3.0,,,4.0
jb_straubel,self-made,1975-12-20,Carson City,Nevada,,2.0,United States,,Des Moine,Iowa,
jean_gigi_pritzker,inherited,1962-07-01,Los Angeles,California,Married,3.0,,3.0,,,2.0
jean_marc_chapus,self-made,1959-04-01,Pacific Palisades,California,Married,7.0,,,,,
jed_mccaleb,self-made,1975-01-01,Berkeley,California,,,United States,9.0,Fayetteville,Arkansas,
jeff_bezos,self-made,1964-01-12,Miami,Florida,Engaged,4.0,United States,8.0,Albuquerque,New Mexico,2.0
jeff_greene,self-made,1954-12-10,Palm Beach,Florida,Married,3.0,,10.0,,,1.0
jeff_lawson,self-made,1977-06-21,San Francisco,California,Married,2.0,United States,,,,
jeff_rothschild,self-made,1955-01-02,Palo Alto,California,Married,3.0,,6.0,,,2.0
jeff_skoll,self-made,1965-01-16,Lantana,Florida,Single,,Canada,6.0,,,4.0
jeff_sprecher,self-made,1955-02-23,Atlanta,Georgia,Married,,United States,,Madison,Wisconsin,
jeff_sutton,self-made,1960-01-17,New York,New York,Married,5.0,,8.0,,,1.0
jeff_t_green,self-made,1977-03-30,Newbury Park,California,,,,8.0,,,1.0
jeff_tangney,self-made,1972-08-09,Palo Alto,California,Married,3.0,United States,9.0,Janesville,Wisconsin,1.0
jeff_yass,self-made,1958-07-17,Haverford,Pennsylvania,Married,4.0,,8.0,,,1.0
jeffery_hildebrand,self-made,1959-03-05,Houston,Texas,Married,3.0,,8.0,,,2.0
jeffrey_gundlach,self-made,1959-01-01,Los Angeles,California,Divorced,,United States,8.0,Synder,New York,2.0
jeffrey_lorberbaum,inherited and growing,1954-10-25,Chattanooga,Tennessee,Married,,United States,5.0,Dalton,Georgia,
jeffrey_lurie,inherited and growing,1951-09-08,Wynnewood,Pennsylvania,Married,2.0,,4.0,,,2.0
jeffrey_michael,self-made,1956-07-18,Minnetonka,Minnesota,Married,4.0,,,,,
jeffrey_soffer,inherited and growing,1967-12-13,Aventura,Florida,Married,,,,,,
jeffrey_talpins,self-made,1975-03-06,Larchmont,New York,Married,,,8.0,,,
jennifer_gilbert,inherited,1968-06-01,Franklin,Michigan,Divorced,5.0,,,,,
jennifer_pritzker,inherited,1950-08-13,Chicago,Illinois,Divorced,3.0,,1.0,,,
jennifer_steinbrenner_swindal,inherited,1959-07-28,Tampa,Florida,Married,2.0,,,,,
jenny_love_meyer,inherited,1966-03-01,Nichols Hills,Oklahoma,Married,2.0,,,,,
jensen_huang,self-made,1963-02-17,Los Altos,California,Married,,Taiwan,8.0,,,1.0
jeremy_allaire,self-made,1971-05-13,Boston,Massachusetts,,,,,,,
jeremy_jacobs_sr,inherited and growing,1940-01-21,East Aurora,New York,Married,6.0,,5.0,,,2.0
jerry_jones,self-made,1942-10-13,Dallas,Texas,Married,3.0,,8.0,,,1.0
jerry_moyes,self-made,1944-01-15,Tolleson,Arizona,Married,10.0,,,,,1.0
jerry_reinsdorf,self-made,1936-02-25,Chicago,Illinois,Married,4.0,,,,,
jerry_seinfeld,self-made,1954-04-29,New York,New York,Married,3.0,United States,,"Brooklyn, NY",New York,
jerry_speyer,self-made,1940-06-23,New York,New York,Married,4.0,,8.0,,,1.0
jerry_yang,self-made,1968-11-06,Los Altos Hills,California,Married,2.0,Taiwan,10.0,Taipei,,2.0
jessica_steinbrenner,inherited,1964-03-26,Tampa,Florida,Divorced,4.0,,,,,
jim_breyer,self-made,1961-07-26,Austin,Texas,Widowed,4.0,,8.0,,,1.0
jim_coulter,self-made,1959-12-01,San Francisco,California,Married,3.0,,7.0,,,1.0
jim_crane,self-made,1954-01-17,Houston,Texas,Married,3.0,,,,,
jim_davis,self-made,1943-05-17,Newton,Massachusetts,Married,2.0,,8.0,,,2.0
jim_davis_1,self-made,1960-03-13,Cockeysville,Maryland,Married,2.0,United States,8.0,,,2.0
jim_kavanaugh,self-made,1962-10-17,St. Louis,Missouri,,,,9.0,,,1.0
