person,self_made_type,birth_date,city,state,marital_status,number_of_children,birth_country,self_made_score,birth_city,birth_state,philanthropy_score
leonard_abess,inherited and growing,1948-07-23,Miami,Florida,,,,,,,
leonard_schleifer,self-made,1952-07-07,Tarrytown,New York,Married,3.0,United States,8.0,,,1.0
leonard_stern,inherited and growing,1938-03-28,New York,New York,Married,3.0,,5.0,,,2.0
leonid_radvinsky,self-made,1982-05-30,Miami,Florida,Married,,Ukraine,7.0,,,1.0
les_wexner,self-made,1937-09-08,New Albany,Ohio,Married,4.0,United States,8.0,Dayton,Ohio,3.0
leslie_alexander,self-made,1943-06-30,Houston,Texas,Divorced,1.0,,8.0,,,1.0
liesel_pritzker_simmons,inherited,1984-03-15,Concord,Massachusetts,Single,,,,,,
linda_pritzker,inherited,1953-09-14,Missoula,Montana,Divorced,3.0,,1.0,,,
lisa_su,self-made,1969-11-07,,,,,,6.0,,,
lloyd_blankfein,self-made,1954-09-20,New York,New York,Married,3.0,United States,,Bronx,New York,
lorenzo_fertitta,inherited and growing,1969-01-03,Las Vegas,Nevada,Married,3.0,,5.0,,,2.0
louis_bacon,self-made,1956-07-25,Oyster Bay,New York,Divorced,7.0,,7.0,,,
luana_lopes_lara,self-made,1996-05-20,New York,New York,Single,,Brazil,,Belo Horizonte,,
lucy_guo,self-made,1994-10-14,Los Angeles,California,Single,,United States,8.0,Fremont,California,
lucy_stitzer,inherited,1960-01-01,Greenwich,Connecticut,Married,3.0,,2.0,,,
lukas_walton,inherited,1986-09-19,Chicago,Illinois,Married,,,1.0,,,2.0
lynda_resnick,self-made,1943-01-18,Beverly Hills,California,Married,5.0,,8.0,,,4.0
lyndal_stephens_greth,inherited and growing,1974-10-12,Dallas,Texas,Married,,,3.0,,,
lynn_schusterman,inherited,1939-01-21,Tulsa,Oklahoma,Widowed,3.0,,1.0,,,5.0
lynsi_snyder,inherited and growing,1982-05-05,Franklin,Tennessee,Married,,,3.0,,,2.0
mackenzie_scott,inherited,1970-04-07,Seattle,Washington,Divorced,4.0,United States,3.0,San Francisco,California,5.0
maggie_hardy,inherited and growing,1965-12-07,Belle Vernon,Pennsylvania,Married,1.0,,4.0,,,
magic_johnson,self-made,1959-08-14,Los Angeles,California,Married,3.0,,,,,
marc_andreessen,self-made,1971-07-09,Menlo Park,California,Married,1.0,United States,,Cedar Falls,Iowa,
marc_benioff,self-made,1964-09-25,San Francisco,California,Married,2.0,,8.0,,,4.0
marc_lasry,self-made,1960-09-23,New York,New York,Married,5.0,Morocco,9.0,,,
marc_lipschultz,self-made,1969-01-25,New York,New York,,,,,,,
marc_lore,self-made,1971-05-16,New York City,New York,,,,9.0,,,1.0
marc_rowan,self-made,1962-08-19,New York,New York,Separated,,,8.0,,,2.0
marcelo_claure,self-made,1970-12-09,Miami Beach,Florida,Married,6.0,Bolivia,,,,
marco_degeorge,self-made,1973-05-16,Los Angeles,California,Married,4.0,,,,,
margaret_baker,inherited,1965-09-01,Ketchum,Idaho,,,,,,,
margaretta_taylor,inherited,1942-04-15,Southampton,New York,,2.0,,1.0,,,1.0
margot_birmingham_perot,inherited,1933-11-15,Dallas,Texas,Widowed,5.0,,1.0,,,2.0
marian_ilitch,self-made,1933-01-07,Bingham Farms,Michigan,Widowed,7.0,,9.0,,,2.0
marianne_liebmann,inherited,1953-07-11,Bozeman,Montana,Married,2.0,,1.0,,,1.0
marijke_mars,inherited,1964-07-28,Los Angeles,California,Divorced,,,2.0,,,
marilyn_simons,inherited,1951-01-04,East Setauket,New York,Widowed,,,1.0,,,5.0
mario_gabelli,self-made,1942-03-31,Greenwich,Connecticut,Married,4.0,United States,8.0,New York,New York,
marissa_mayer,self-made,1975-05-30,Palo Alto,California,Married,3.0,United States,6.0,Wausau,Wisconsin,
mark_attanasio,self-made,1957-09-29,Los Angeles,California,Married,2.0,,,,,
mark_cuban,self-made,1958-07-31,Dallas,Texas,Married,3.0,United States,8.0,Pittsburgh,Pennsylvania,1.0
mark_davis_1,inherited and growing,1955-05-18,Henderson,Nevada,,,United States,,Brooklyn,New York,
mark_hancock,self-made,1975-05-01,Mountain Green,Utah,Married,,,,,,
mark_jones,self-made,1962-01-01,Fort Worth,Texas,Married,6.0,Canada,9.0,Lethbridge,Alberta,
mark_meijer,inherited and growing,1957-10-21,Grand Rapids,Michigan,,,United States,3.0,,,1.0
mark_pincus,self-made,1966-02-13,San Francisco,California,Divorced,3.0,,,,,
mark_shoen,inherited and growing,1950-11-20,Phoenix,Arizona,Married,1.0,United States,5.0,,,1.0
mark_stevens,self-made,1960-02-17,Steamboat Springs,Colorado,Married,3.0,,9.0,,,2.0
mark_walter,self-made,1960-05-22,Chicago,Illinois,Married,1.0,United States,8.0,Cedar Rapids,Iowa,2.0
mark_zuckerberg,self-made,1984-05-14,Palo Alto,California,Married,3.0,United States,8.0,White Plains,New York,2.0
martha_ingram,inherited and growing,1935-08-20,Nashville,Tennessee,Widowed,4.0,,4.0,,,1.0
martha_macmillan,inherited,1951-10-01,Orono,Minnesota,Divorced,5.0,,1.0,,,
martine_rothblatt,self-made,1954-10-10,Satellite Beach,Florida,Married,4.0,,8.0,,,
marty_horton,inherited,1951-05-28,Fort Worth,Texas,Widowed,2.0,,,,,
mat_ishbia,inherited and growing,1980-01-06,Bloomfield Hills,Michigan,Divorced,3.0,United States,5.0,,Michigan,1.0
matei_zaharia,self-made,1985-04-21,Berkeley,California,,,,,,,
matthew_prince,self-made,1975-01-01,Park City,Utah,Married,,,8.0,,,1.0
matthew_pritzker,inherited,1982-05-15,Chicago,Illinois,Single,,,,,,
matthew_roszak,self-made,1972-12-09,Chicago,Illinois,Married,,,,,,
max_levchin,self-made,1975-07-11,San Francisco,California,Married,2.0,Ukraine,,,,
max_lytvyn,self-made,1980-01-01,San Francisco,California,,,Ukraine,,,,
max_van_hoegaerden_herrmann_telles,inherited and growing,1995-11-21,New York,New York,,,,,,,
meg_whitman,self-made,1956-08-04,Los Angeles,California,Married,2.0,,6.0,,,2.0
melinda_french_gates,inherited,1964-08-15,Seattle,Washington,Divorced,3.0,United States,2.0,Dallas,Texas,5.0
michael_arougheti,self-made,1972-10-10,Nyack,New York,Married,,,,,,
michael_bloomberg,self-made,1942-02-14,New York,New York,In Relationship,2.0,United States,8.0,Boston,Massachusetts,4.0
michael_cagney,self-made,1971-02-01,San Francisco,California,Married,,,,,,
michael_dell,self-made,1965-02-23,Austin,Texas,Married,4.0,United States,8.0,Houston,Texas,2.0
michael_dorrell,self-made,1973-08-14,New York,New York,,,Australia,8.0,,,
michael_dunlap,self-made,1963-09-01,Lincoln,Nebraska,Married,3.0,,,,,
michael_hsing,self-made,1961-01-01,Yarrow Point,Washington,,,,,,,
michael_intrator,self-made,1969-03-05,New York City,New York,,,,8.0,,,1.0
michael_jordan,self-made,1963-02-17,Jupiter,Florida,Married,5.0,United States,8.0,Brooklyn,New York,1.0
michael_krasny,self-made,1953-08-08,Highland Park,Illinois,Married,1.0,,,,,
michael_milken,self-made,1946-07-04,Los Angeles,California,Married,3.0,United States,8.0,Encino,California,3.0
michael_moritz,self-made,1954-09-12,San Francisco,California,Married,2.0,United Kingdom,8.0,"Cardiff, Wales",,4.0
michael_novogratz,self-made,1964-11-26,New York,New York,Married,4.0,,8.0,,,2.0
michael_patterson,self-made,1974-12-01,New York City,New York,,,,,,,
michael_polsky,self-made,1949-01-01,Chicago,Illinois,Married,4.0,Ukraine,10.0,,,
michael_rees,self-made,1975-03-19,New Canaan,Connecticut,Married,2.0,,,,,
michael_rubin,self-made,1972-07-21,Bryn Mawr,Pennsylvania,Divorced,3.0,United States,8.0,,,1.0
michael_s_smith,self-made,1955-05-09,Miami Beach,Florida,Married,2.0,United States,,,,
michael_sabel,self-made,1967-01-20,Washington,District of Columbia,Married,,United States,8.0,,,1.0
michael_saylor,self-made,1965-02-04,Miami,Florida,Single,,,8.0,,,
michael_steinhardt,self-made,1940-12-07,Mount Kisco,New York,Married,,,,,,
michael_teel,inherited and growing,1951-05-15,Sacramento,California,Married,,United States,,Sacramento,,
michael_truell,self-made,2000-09-04,San Francisco,California,,,,,,,
michael_xie,self-made,1969-02-20,Los Altos Hills,California,Married,,China,8.0,,,2.0
michele_kang,self-made,1959-06-26,Palm Beach,Florida,Divorced,,South Korea,8.0,,,
michelle_zatlyn,self-made,1979-07-24,San Francisco,California,Married,2.0,,8.0,,,
micky_arison,inherited and growing,1949-06-29,Bal Harbour,Florida,Married,2.0,Israel,5.0,,,2.0
mike_brown_1,inherited and growing,1935-08-10,Cincinnati,Ohio,Married,2.0,,4.0,,,1.0
mike_repole,self-made,1969-01-21,Windermere,Florida,Married,,,,,,
mike_speiser,self-made,1971-01-25,San Francisco,California,Single,,,,,,
milane_frantz,inherited,1969-08-12,Houston,Texas,Married,,,1.0,,,1.0
min_kao,self-made,1949-01-10,Leawood,Kansas,Married,2.0,Taiwan,8.0,,,1.0
miriam_adelson,inherited,1945-10-10,Las Vegas,Nevada,Widowed,5.0,Israel,2.0,,,2.0
mitchell_jacobson,inherited,1951-03-06,Locust Valley,New York,Married,,,,,,
mitchell_morgan,self-made,1954-07-29,Bryn Mawr,Pennsylvania,Married,3.0,United States,9.0,Philadelphia,Pennsylvania,2.0
mitchell_rales,self-made,1956-08-21,Potomac,Maryland,Married,2.0,,7.0,,,4.0
mortimer_zuckerman,self-made,1937-06-04,New York,New York,Divorced,2.0,Canada,8.0,Montreal,Quebec,4.0
nancy_lerner,inherited,1960-05-11,Cleveland,Ohio,Married,5.0,,,,,
nancy_mills_barnett,inherited,1963-09-01,Highland Park,Illinois,,,,,,,
nancy_walton_laurie,inherited,1951-05-15,Henderson,Nevada,Married,1.0,,1.0,,,1.0
nathan_blecharczyk,self-made,1983-06-11,San Francisco,California,Married,2.0,,8.0,,,1.0
neal_aronson,self-made,1965-02-01,Atlanta,Georgia,Married,2.0,,7.0,,,
neal_blue,self-made,1935-04-04,San Diego,California,Widowed,4.0,United States,7.0,,Colorado,
neerja_sethi,self-made,1955-01-16,Fisher Island,Florida,Married,2.0,India,8.0,,,
neil_bluhm,self-made,1938-01-12,Chicago,Illinois,Divorced,3.0,,10.0,,,2.0
nelson_peltz,self-made,1942-06-01,Bedford,New York,Married,10.0,,8.0,,,
nicholas_howley,self-made,1962-03-12,Key West,Florida,,,,,,,
nicholas_pritzker,inherited and growing,1944-01-01,Nicasio,California,Married,4.0,,3.0,,,2.0
nicholas_woodman,self-made,1975-06-24,Big Sky,Montana,Married,3.0,United States,8.0,Menlo Park,California,
nick_caporella,self-made,1936-01-15,Plantation ,Florida,Married,4.0,,9.0,,,1.0
nicolas_berggruen,inherited and growing,1961-08-10,Beverly Hills,California,Single,,France,5.0,Paris,,2.0
nicole_shanahan,inherited,1985-09-26,Portolo Valley,California,Divorced,,,,,,
nikesh_arora,self-made,1968-02-15,Atherton,California,Married,,India,,,,
niraj_shah,self-made,1974-03-10,Boston,Massachusetts,Married,2.0,United States,8.0,,,1.0
noam_gottesman,self-made,1961-05-24,New York,New York,Married,4.0,Israel,7.0,,,3.0
norma_lerner,inherited,1936-03-28,Cleveland,Ohio,Widowed,2.0,,,,,
norman_asbjornson,self-made,1935-12-10,Tulsa,Oklahoma,,,United States,,Winifred,Montana,
norman_braman,self-made,1932-08-22,Miami,Florida,Married,2.0,,9.0,,,2.0
noubar_afeyan,self-made,1962-07-25,Lexington,Massachusetts,Married,,Lebanon,10.0,Beirut,,1.0
o_francis_biondi,self-made,1964-07-04,New York,New York,Married,,,,,,
olivia_holding_1,inherited and growing,1964-09-14,Raleigh,North Carolina,,,,,,,
olivier_pomel,self-made,1977-03-26,New York,New York,Married,,,,,,
omani_carson,self-made,1964-08-27,Omaha,Nebraska,,,,,,,
oprah_winfrey,self-made,1954-01-29,,,In Relationship,,United States,10.0,Kosciusko,Mississippi,2.0
oren_zeev,self-made,1964-09-23,Los Altos,California,Married,2.0,Israel,,,,
orion_hindawi,self-made,1980-01-10,Seattle,Washington,Married,2.0,United States,,San Francisco,California,
orlando_bravo,self-made,1970-09-23,Miami Beach,Florida,Married,4.0,Puerto Rico,8.0,Mayaguez,,1.0
pablo_legorreta,self-made,1963-10-30,Sag Harbor,New York,Married,2.0,Mexico,8.0,,,1.0
palmer_luckey,self-made,1992-09-19,Newport Beach,California,Single,,,,,,
pamela_mars,inherited,1960-08-01,Alexandria,Virginia,Married,3.0,,2.0,,,
pantas_sutardja,self-made,1962-12-01,Saratoga,California,,,,,,,
parker_conrad,self-made,1980-04-13,San Francisco,California,Married,,,,,,
pat_neal,self-made,1949-03-04,Bradenton,Florida,Married,,,,,,
pat_stryker,inherited,1956-04-06,Fort Collins,Colorado,Divorced,3.0,,1.0,,,3.0
patrick_collison,self-made,1988-09-09,San Francisco ,California,Married,,Ireland,,,,
patrick_hanrahan,self-made,1955-05-08,Portola Valley,California,,,,,,,
patrick_ryan,self-made,1937-05-15,Winnetka,Illinois,Married,3.0,United States,8.0,Milwaukee,Wisconsin,2.0
patrick_soon_shiong,self-made,1952-07-29,Los Angeles,California,Married,2.0,South Africa,9.0,,,2.0
patrick_zalupski,self-made,1980-11-29,Jacksonville,Florida,Married,3.0,United States,,,,
patrizio_vinciarelli,self-made,1946-10-26,Boston,Massachusetts,Divorced,,,,,,
paul_fireman,self-made,1944-02-14,Brookline,Massachusetts,Married,3.0,,,,,
paul_foster,self-made,1957-10-08,El Paso,Texas,Married,2.0,,8.0,,,2.0
paul_saville,self-made,1955-12-14,Palm Beach,Florida,,,,6.0,,,
paul_sciarra,self-made,1981-02-15,San Francisco,California,Married,,,8.0,,,
paul_singer,self-made,1944-08-22,New York,New York,In Relationship,2.0,United States,8.0,,,2.0
paul_tudor_jones_ii,self-made,1954-09-28,Palm Beach,Florida,Married,4.0,,7.0,,,2.0
pauline_macmillan_keinath,inherited,1934-01-01,St. Louis,Missouri,Married,4.0,,1.0,,,1.0
peggy_cherng,self-made,1947-12-18,Las Vegas,Nevada,Married,3.0,Myanmar,9.0,,,1.0
penny_pritzker,inherited,1959-05-02,Chicago,Illinois,Married,2.0,,3.0,,,3.0
peter_cancro,self-made,1957-05-01,Miami,Florida,Married,4.0,United States,9.0,Point Pleasant,New Jersey,1.0
peter_gassner,self-made,1965-02-26,Pleasanton,California,Married,2.0,,8.0,,,
peter_guber,self-made,1942-03-01,Los Angeles,California,Married,4.0,,,,,
peter_kellogg,inherited and growing,1942-09-01,Short Hills,New Jersey,Married,3.0,,4.0,,,2.0
peter_ludwig,self-made,1984-05-30,San Francisco,California,,,,,,,
peter_mallouk,self-made,1970-01-16,Overland Park,Kansas,,,,,,,
peter_sperling,inherited and growing,1959-11-22,Phoenix,Arizona,Married,2.0,,,,,
peter_thiel,self-made,1967-10-11,Los Angeles,California,Married,1.0,Germany,8.0,Frankfurt,,1.0
phil_knight,self-made,1938-02-24,Hillsboro,Oregon,Married,3.0,,8.0,,,4.0
phil_ruffin,self-made,1935-03-17,Las Vegas,Nevada,Married,5.0,,8.0,,,1.0
phil_shawe,self-made,1969-08-18,San Juan,Puerto Rico,,,,,,,
philip_anschutz,inherited and growing,1939-12-28,Denver,Colorado,Married,3.0,United States,5.0,,,3.0
philippe_laffont,self-made,1967-09-16,New York,New York,Married,,Belgium,8.0,,,1.0
phillip_frost,self-made,1936-11-11,Miami Beach,Florida,Married,,,8.0,,,3.0
phillip_t_terry_ragon,self-made,1949-06-01,Boston,Massachusetts,Married,,,8.0,,,3.0
pierre_omidyar,self-made,1967-06-21,Honolulu,Hawaii,Married,3.0,France,8.0,Paris,,4.0
qasar_younis,self-made,1981-08-01,San Francisco,California,,,Pakistan,,,,
raj_sardana,self-made,1960-03-08,Atlanta,Georgia,Married,3.0,India,9.0,New Delhi ,,
rajiv_jain,self-made,1968-01-27,Fort Lauderdale,Florida,,,India,8.0,,,1.0
rakesh_gangwal,self-made,1953-07-25,Miami,Florida,Married,1.0,India,8.0,,,1.0
ralph_lauren_family,self-made,1939-10-14,New York,New York,Married,3.0,,9.0,,,1.0
ramzi_musallam,self-made,1968-09-17,New York,New York,,,Jordan,6.0,Amman,,
randa_duncan_williams,inherited,1961-08-28,Houston,Texas,Married,1.0,,3.0,,,1.0
randal_j_kirk,self-made,1954-03-01,Manalapan,Florida,Married,3.0,,8.0,,,1.0
randolph_lerner,inherited,1962-02-21,Cleveland,Ohio,Married,4.0,,,,,
ray_dalio,self-made,1949-08-08,Greenwich,Connecticut,Married,4.0,,8.0,,,3.0
ray_davis,self-made,1941-12-18,Dallas,Texas,Married,3.0,,8.0,,,2.0
ray_lee_hunt,inherited and growing,1943-04-06,Dallas,Texas,Married,5.0,,5.0,,,2.0
reagan_horton,inherited,1975-05-01,Fort Worth,Texas,,,,,,,
reed_hastings,self-made,1960-10-08,Santa Cruz,California,Married,2.0,United States,7.0,Boston,Massachusetts,5.0
reid_hoffman,self-made,1967-08-05,Palo Alto,California,Married,,United States,8.0,Stanford,California,
reinhold_schmieding,self-made,1955-01-03,Naples,Florida,Married,2.0,United States,8.0,Bloomfield Hills,Michigan,1.0
riaz_valani,self-made,1976-09-01,Malibu,California,,,United States,,San Francisco ,California,
ric_elias,self-made,1967-05-21,Charlotte,North Carolina,Married,2.0,Puerto Rico,,San Juan,,
richard_fairbank,self-made,1950-09-01,McLean,Virginia,Married,8.0,United States,,,,
richard_hayne,self-made,1947-09-01,Philadelphia,Pennsylvania,Married,,,9.0,,,
richard_kayne,self-made,1946-01-01,Santa Monica ,California,Married,3.0,,,,,
richard_kinder,self-made,1944-10-19,Houston,Texas,Married,1.0,,8.0,,,3.0
richard_kurtz,self-made,1940-05-15,Palm Beach,Florida,Divorced,,,,,,
richard_lefrak,inherited and growing,1945-08-29,New York,New York,Married,2.0,,5.0,,,2.0
richard_peery,self-made,1938-10-01,Palo Alto,California,Married,4.0,,8.0,,,2.0
richard_saghian,self-made,1981-08-06,Los Angeles,California,Single,,United States,,Los Angeles,California,
richard_sands,inherited and growing,1951-03-03,Delray Beach,Florida,,,,4.0,,,1.0
richard_schulze,self-made,1941-01-02,Naples,Florida,"Widowed, Remarried",10.0,,8.0,,,3.0
richard_teets_jr,self-made,1956-01-01,Butler,Indiana,,,,,,,
richard_uihlein,self-made,1945-08-27,Lake Forest,Illinois,Married,3.0,United States,7.0,Dallas,Texas,2.0
richard_yuengling_jr,inherited and growing,1943-03-10,Pottsville,Pennsylvania,Divorced,4.0,United States,5.0,Pottsville,Pennsylvania,
rick_caruso,self-made,1959-01-07,Los Angeles,California,Married,4.0,United States,7.0,Hollywood Hills,California,2.0
rick_cohen,inherited and growing,1952-07-25,Keene,New Hampshire,Married,3.0,United States,5.0,,,1.0
rick_smith,self-made,1970-05-20,Flagstaff,Arizona,Married,,,,,,
rick_workman,self-made,1955-01-29,Windermere,Florida,Married,,United States,,Clay County,Illinois,
rihanna,self-made,1988-02-20,Los Angeles,California,In Relationship,2.0,,10.0,,,
riley_bechtel,inherited and growing,1952-03-25,San Francisco,California,Married,3.0,,4.0,,,1.0
rob_walton,inherited and growing,1944-10-27,Bentonville,Arkansas,Married,3.0,,4.0,,,1.0
robert_bass,inherited and growing,1948-03-19,Fort Worth,Texas,Married,4.0,,4.0,,,2.0
robert_clark,self-made,1959-01-30,St. Louis,Missouri,,,United States,,Bridgeton,Missouri,
robert_duggan,self-made,1944-04-28,Miami,Florida,Married,8.0,,8.0,,,1.0
robert_f_smith,self-made,1962-12-01,Austin,Texas,Married,7.0,United States,8.0,,,2.0
robert_faith,self-made,1963-10-03,Charleston,South Carolina,Married,3.0,United States,8.0,,Kansas,1.0
robert_fisher,inherited,1953-08-01,San Francisco,California,Married,3.0,,2.0,,,
robert_hale_jr,self-made,1966-07-08,Boston,Massachusetts,Married,,United States,8.0,Northampton ,Massachusetts,3.0
robert_johnson,self-made,1946-04-08,Palm Beach,Florida,Divorced,2.0,,,,,
robert_johnson_3,inherited and growing,1947-04-12,Palm Beach,Florida,Married,5.0,,4.0,,,1.0
robert_kraft,self-made,1941-06-05,Brookline,Massachusetts,"Widowed, Remarried",4.0,,8.0,,,3.0
robert_pender,self-made,1953-06-06,Falls Church,Virginia,Married,3.0,,8.0,,,1.0
robert_pera,self-made,1978-03-10,San Jose,California,Single,,United States,8.0,,,1.0
robert_rich_jr,inherited and growing,1941-01-25,Islamorada,Florida,Married,4.0,,5.0,,,1.0
robert_rowling,inherited and growing,1953-09-26,Dallas,Texas,Married,2.0,,5.0,,,2.0
robert_sands,inherited and growing,1958-06-10,Delray Beach,Florida,Married,,,4.0,,,2.0
robert_ziff,inherited,1966-08-12,New York,New York,Married,2.0,,4.0,,,1.0
robyn_jones,self-made,1962-07-22,Fort Worth,Texas,Married,6.0,Canada,9.0,Stettler,Alberta,
rocco_basilico_1,inherited,1989-07-11,Los Angeles,California,,,Italy,,Milan,,
rodger_riney,self-made,1946-01-01,St. Louis,Missouri,Married,3.0,United States,7.0,St. Louis,Missouri,2.0
rodney_sacks,self-made,1949-12-24,Laguna Beach,California,,,South Africa,8.0,,,
roger_penske,self-made,1937-02-20,Birmingham,Michigan,Married,5.0,,8.0,,,1.0
romesh_t_wadhwani,self-made,1947-08-25,Palo Alto,California,Married,1.0,India,8.0,,,2.0
ron_baron,self-made,1943-05-23,New York,New York,Married,2.0,,8.0,,,1.0
ron_corio,self-made,1961-10-04,Albuquerque,New Mexico,Divorced,2.0,,,,,
ron_shaich,self-made,1953-12-30,Miami,Florida,Divorced,2.0,,,,,
ronald_clarke,self-made,1955-08-15,Duluth,Georgia,Married,2.0,,,,,
ronald_lauder,inherited and growing,1944-02-26,New York,New York,Married,2.0,United States,5.0,New York,New York,3.0
ronald_perelman,self-made,1943-01-01,New York,New York,Married,8.0,United States,7.0,Greensboro,North Carolina,2.0
ronald_wanek,self-made,1941-05-19,Saint Petersburg,Florida,Married,3.0,,9.0,,,2.0
ronda_stryker,inherited,1954-05-01,Portage,Michigan,Married,3.0,,2.0,,,3.0
roy_carroll_ii,self-made,1962-11-01,Greensboro,North Carolina,Married,3.0,United States,,Greensboro,North Carolina,
rupert_johnson_jr,inherited and growing,1940-08-10,Burlingame,California,Married,,,4.0,,,2.0
rupert_murdoch,inherited and growing,1931-03-11,New York,New York,Married,6.0,Australia,5.0,,,1.0
russell_savage,self-made,1970-05-05,Delray Beach,Florida,Single,,,8.0,,,1.0
ryan_cohen,self-made,1985-08-04,Bal Harbour,Florida,Married,,,,,,
ryan_graves,self-made,1983-07-03,Kauai,Hawaii,Married,4.0,United States,,San Diego,California,
ryan_horton,inherited,1973-04-01,Fort Worth,Texas,,,,,,,
ryan_israel,self-made,1985-04-08,New York,New York,,,,,,,
ryan_smith,self-made,1978-06-28,Provo,Utah,Married,5.0,,,,,
s_curtis_johnson,inherited,1955-05-05,Racine,Wisconsin,Married,4.0,,1.0,,,2.0
safra_catz,self-made,1961-12-01,Fort Lauderdale,Florida,Married,2.0,Israel,6.0,Holon,,
sam_altman,self-made,1985-04-22,San Francisco,California,,,,,,,
sam_mccandlish,self-made,1990-07-01,San Francisco,California,,,,,,,
sami_mnaymneh,self-made,1961-07-13,Miami Beach,Florida,,,,8.0,,,1.0
sandra_macmillan_kirkpatrick,inherited,1972-05-01,Fort Lauderdale,Florida,Married,3.0,,,,,
sanjay_gajendra,self-made,1974-12-01,Santa Clara,California,,,,,,,
sanjit_biswas,self-made,1982-01-12,San Francisco ,California,Married,3.0,Canada,8.0,Edmonton,,1.0
sara_blakely,self-made,1971-02-27,Atlanta,Georgia,Married,4.0,United States,8.0,St. Petersburg,Florida,
sarah_humphreys_atkins,inherited and growing,1958-03-01,Arlington,Virginia,Married,,,,,,
sarah_macmillan,inherited,1954-01-01,Los Angeles,California,Divorced,3.0,,1.0,,,
satya_nadella,self-made,1967-08-19,Bellevue,Washington,Married,3.0,India,,Hyderabad,,
scot_french,self-made,1970-10-01,Bal Harbour,Florida,,,,,,,
scott_cook,self-made,1952-07-26,Woodside,California,Married,3.0,,8.0,,,3.0
scott_crabill,self-made,1970-02-07,San Francisco,California,Married,2.0,,8.0,,,1.0
scott_duncan,inherited,1982-11-01,Houston,Texas,Single,,,1.0,,,1.0
scott_kapnick,self-made,1959-02-09,Naples,Florida,,,,7.0,,,
scott_nuttall,self-made,1972-11-25,New York,New York,,5.0,,,,,
scott_shleifer,self-made,1977-06-14,New York,New York,Married,,United States,6.0,Portland,Oregon,2.0
scott_smith_1,self-made,1949-04-12,Provo,Utah,Married,9.0,United States,,Provo,Utah,
scott_watterson,self-made,1955-05-18,Logan,Utah,Married,5.0,United States,8.0,Salt Lake City,Utah,
sean_parker,self-made,1979-12-03,Los Angeles,California,Married,2.0,,8.0,,,4.0
sergey_brin,self-made,1973-08-21,Los Altos,California,Separated,3.0,Russia,9.0,Moscow,,2.0
seth_boro,self-made,1975-09-17,San Francisco,California,Married,2.0,Canada,8.0,,,1.0
seth_klarman,self-made,1957-05-01,Chestnut Hill,Massachusetts,Married,,United States,,,,
shahid_khan,self-made,1950-07-18,Naples,Florida,Married,2.0,Pakistan,10.0,Lahore,,1.0
sharron_hunt,inherited,1958-02-15,Dallas,Texas,,,,,,,
shayne_coplan,self-made,1998-05-23,New York,New York,In Relationship,,United States,,New York City,New York,
sheila_johnson,self-made,1949-01-25,The Plains,Virginia,Married,2.0,,9.0,,,
sheryl_sandberg,self-made,1969-08-28,Menlo Park,California,"Widowed, Remarried",5.0,United States,6.0,Washington,District of Columbia,
shuo_wang,self-made,1989-02-19,Medina,Washington,,,,8.0,,,
shyam_sankar,self-made,1982-03-01,Palo Alto,California,,,,,,,
sid_bass,inherited and growing,1942-04-09,Fort Worth,Texas,Divorced,2.0,,4.0,,,2.0
sidney_kimmel,self-made,1928-01-16,New York,New York,Married,,United States,,Philadelphia,Pennsylvania,
stanley_druckenmiller,self-made,1953-06-14,New York,New York,Married,,,8.0,,,4.0
stanley_hubbard,inherited and growing,1933-05-28,St. Paul,Minnesota,Married,5.0,,5.0,,,
stanley_kroenke,self-made,1947-07-29,Electra,Texas,Married,2.0,,7.0,,,1.0
stanley_tang,self-made,1992-10-27,San Francisco,California,,,Hong Kong,,,,
stefan_kaluzny,self-made,1967-01-01,New York,New York,,,,,,,
stefan_soloviev,inherited and growing,1975-05-21,Delray Beach,Florida,Divorced,22.0,United States,,,,
stephane_bancel,self-made,1972-07-20,Boston,Massachusetts,Married,2.0,,,,,
stephen_bisciotti,self-made,1960-04-10,Hobe Sound,Florida,Married,2.0,United States,8.0,Philadelphia,Pennsylvania,2.0
stephen_butt,inherited and growing,1955-05-24,Dallas,Texas,Married,2.0,United States,3.0,,,
stephen_cohen,self-made,1982-09-30,Palo Alto,California,,,United States,7.0,,,1.0
stephen_deckoff,self-made,1965-11-04,St. John,U.S. Virgin Islands,Married,3.0,,8.0,,,1.0
stephen_feinberg,self-made,1960-03-29,New York,New York,Married,3.0,,8.0,,,1.0
stephen_ketchum,self-made,1961-07-01,New York City,New York,,,,,,,
stephen_mandel_jr,self-made,1956-03-12,Greenwich,Connecticut,Married,3.0,,7.0,,,2.0
stephen_ross,self-made,1940-05-10,Palm Beach,Florida,Married,4.0,,8.0,,,2.0
stephen_schwarzman,self-made,1947-02-14,New York,New York,Married,3.0,,8.0,,,2.0
stephen_winn,self-made,1946-09-12,Dallas,Texas,Married,,,8.0,,,
steve_ballmer,self-made,1956-03-24,Hunts Point,Washington,Married,3.0,United States,6.0,Detroit,Michigan,2.0
steve_case,self-made,1958-08-21,McLean,Virginia,Married,5.0,United States,,Honolulu ,Hawaii,
steve_cohen,self-made,1956-06-11,Greenwich,Connecticut,Married,7.0,,8.0,,,3.0
steve_conine,self-made,1972-08-28,Boston,Massachusetts,Married,3.0,United States,8.0,,,1.0
steve_ells,self-made,1965-09-12,New York,New York,,,,,,,
