person,ticker,cik
evan_spiegel,SNAP,0001564408
evan_williams,BYND,0001655210
farhad_ebrahimi,FSLR,0001274494
farris_wilks,DWSN,0000799165
frank_fertitta_iii,RRR,0001653653
frank_holding_jr,FCNCB,0000798941
frank_laukien,BRKR,0001109354
frank_slootman,PSA,0001393311
fred_ehrsam,COIN,0001679788
fred_smith,FDX,0001048911
frederic_luddy,NOW,0001373715
gail_miller,JOUT,0000788329
garrett_camp,UBER,0001543151
gary_chouest,TTD,0001671933
gary_magness,CMCSA,0001166691
gary_michelson,AMZN,0001018724
gary_rollins,ROL,0000084839
gary_tharaldson,ALAB,0001736297
gayle_benson,APO,0001858681
geoffrey_palmer,WBD,0001437107
george_joseph,MCY,0000064996
george_kaiser,BOKF,0000875357
george_kurtz,CRWD,0001535527
george_lucas,JPM,0000019617
george_marcus,ESS,0000920522
george_roberts,KKR,0001404912
george_soros,ERIE,0000922621
george_yancopoulos,REGN,0000872589
gerard_wertheimer,AVGO,0001730168
gina_vecchiarelli,URBN,0000912615
gloria_joseph,MCY,0000064996
gordon_getty,PLTR,0001321655
greg_brown,MSI,0000068505
greg_love,CRM,0001108524
greg_mondre,FSLR,0001274494
gregory_bentley,BSY,0001031308
gwynne_shotwell,TOL,0000794170
hamdi_ulukaya,KVYO,0001835830
hamilton_e_james,BX,0001393818
hansjoerg_wyss,NVCR,0001645113
hartley_rogers,HLNE,0001433642
harvey_jones,NVDA,0001045810
helen_johnson_leipold,JOUT,0000788329
henry_kravis,KKR,0001404912
henry_nicholas_iii,AVGO,0001730168
henry_samueli,AVGO,0001730168
henry_swieca,ASTS,0001780312
herald_chen,APP,0001751008
herbert_allen_jr,KO,0000021344
herbert_fisk_johnson_iii,JOUT,0000788329
herbert_simon,SPG,0001063761
herbert_wertheim,GOOGL,0001652044
herriot_tabuteau,AXSM,0001579428
hilton_schlosberg,MNST,0000865752
hock_tan,AVGO,0001730168
holden_spaht,EL,0001001250
hope_welker,BSX,0000885725
howard_lutnick,BGC,0001094831
howard_schultz,SBUX,0000829224
ion_stoica,SEIC,0000350894
itzhak_ezratti,CRGY,0001866175
ivan_zhao,GBDC,0001476765
j_christopher_flowers,ECPG,0001084961
j_frank_harrison_iii,COKE,0000317540
j_hyatt_brown,BRO,0000079282
j_joe_ricketts,SCHW,0000316709
j_tomilson_hill,BX,0001393818
jack_cogen,CRWV,0001769628
jack_dorsey,XYZ,0001512673
james_chambers,WRB,0000011544
james_chao,WLK,0001262823
james_clark,GOOGL,0001652044
james_dolan,MSGE,0001952073
james_litinsky,MP,0001801368
james_tisch,CNA,0000021175
jamie_dimon,JPM,0000019617
jan_koum,META,0001326801
